standardized_inchikey,standardized_SMILES,RT
KRMDCWKBEZIMAB-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2CCc2ccccc21,8.23
YMDXSGBNCBQYGC-UHFFFAOYSA-N,CCOC(=O)C1=C(COCCN)N=C(C)C(C(=O)OC)C1c1ccccc1Cl,8.36
MQHLMHIZUIDKOO-AYHJJNSGSA-N,CCC(C)(C)c1ccc(CC(C)CN2C[C@@H](C)O[C@@H](C)C2)cc1,12.88
QWGDMFLQWFTERH-UHFFFAOYSA-N,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,7.64
KWTSXDURSIMDCE-UHFFFAOYSA-N,CC(N)Cc1ccccc1,4.16
AVKUERGKIZMTKX-FOQMGDCRSA-N,CC1(C)S[C@@H]2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,4.21
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,Nc1cc(-c2ccncc2)c[nH]c1=O,2.88
QSQQQURBVYWZKJ-UHFFFAOYSA-N,CC(N)Cc1c[nH]c2ccccc12,4.44
MTXSIJUGVMTTMU-UHFFFAOYSA-N,c1cncc(C2CCCCN2)c1,2.94
SOPPBXUYQGUQHE-JTQLQIEISA-N,C1=CC[C@@H](c2cccnc2)NC1,2.68
HUTDUHSNJYTCAR-UHFFFAOYSA-N,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,7.15
IMHBYKMAHXWHRP-UHFFFAOYSA-N,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,9.74
NXQDBZGWYSEGFL-UHFFFAOYSA-N,COP(=S)(OC)SCC(=O)N(c1ccc(Cl)cc1)C(C)C,10.84
REYFJDPCWQRWAA-UHFFFAOYSA-N,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,6.41
VMWNQDUVQKEIOC-UHFFFAOYSA-N,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,4.28
ULSIYEODSMZIPX-UHFFFAOYSA-N,NCC(O)c1ccccc1,2.84
IEJXVRYNEISIKR-UHFFFAOYSA-N,Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,3.09
NZLBHDRPUJLHCE-UHFFFAOYSA-N,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,8.85
KSUUMAWCGDNLFK-UHFFFAOYSA-N,C=CCC(C(=O)NC(N)=O)C(C)C,6.94
YKFRAOGHWKADFJ-UHFFFAOYSA-N,CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl,12.18
HJJPJSXJAXAIPN-UHFFFAOYSA-N,COC(=O)C1=CCCN(C)C1,1.74
CEUORZQYGODEFX-UHFFFAOYSA-N,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,8.63
NAPNOSFRRMHNBJ-UHFFFAOYSA-N,Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl,6.7
VSWBSWWIRNCQIJ-HUUCEWRRSA-N,CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,7.39
IAOZJIPTCAWIRG-UHFFFAOYSA-N,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,5.01
IIDFEIDMIKSJSV-UHFFFAOYSA-N,CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC,12.91
GXDALQBWZGODGZ-UHFFFAOYSA-N,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,8.03
VGPYEHKOIGNJKV-UHFFFAOYSA-N,COC(=O)NS(=O)(=O)c1ccc(N)cc1,3.41
METKIMKYRPQLGS-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,3.09
VHGCDTVCOLNTBX-QGZVFWFLSA-N,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,7.685
XUKUURHRXDUEBC-KAYWLYCHSA-N,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,9.96
PXWUKZGIHQRDHL-UHFFFAOYSA-N,CCNc1nc(NC(C)C)nc(OC)n1,7.81
MXWJVTOOROXGIU-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)C)n1,8.16
NFMIMWNQWAWNDW-UHFFFAOYSA-N,CCNc1nc(=O)nc(NC(C)C)[nH]1,5.03
DFWFIQKMSFGDCQ-UHFFFAOYSA-N,CC(C)Nc1nc(N)nc(Cl)n1,5.73
IVENSCMCQBJAKW-UHFFFAOYSA-N,CCNc1nc(N)nc(Cl)n1,4.75
RKUNBYITZUJHSG-SPUOUPEWSA-N,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,4.36
RRZXIRBKKLTSOM-RDKIRRGNSA-N,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=CC(C(=O)O1)[C@]34O)O2,13.64
VNLMRPAWAMPLNZ-UHFFFAOYSA-N,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O,5.14
AKNQMEBLVAMSNZ-UHFFFAOYSA-N,Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,7.85
ZMISODWVFHHWNR-UHFFFAOYSA-N,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,6.19
VECZDVJCSZXAPJ-UHFFFAOYSA-N,CCCc1c(O)n2c(N(C)C)nc3ccc(C)cc3n2c1=O,6.54
SEBMTIQKRHYNIT-UHFFFAOYSA-N,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1,5.99
MBUVEWMHONZEQD-UHFFFAOYSA-N,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,7.59
MAHPNPYYQAIOJN-UHFFFAOYSA-N,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(-c3nnn(C)n3)cnn2C)n1,7.62
RQVGAIADHNPSME-UHFFFAOYSA-N,CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,10.17
CJJOSEISRRTUQB-UHFFFAOYSA-N,COP(=S)(OC)SCn1nnc2ccccc2c1=O,8.89
AFIIBUOYKYSPKB-UHFFFAOYSA-N,CSc1nc(N=[N+]=[N-])nc(NC(C)C)n1,9.71
